timestamp_ns,frequency,cpu,time_relative_s
905272209221320,1950000.0,0,-0.069928915
905272209221320,1950000.0,1,-0.069928915
905272209221320,1950000.0,2,-0.069928915
905272209221320,1950000.0,3,-0.069928915
905272209221320,2367000.0,4,-0.069928915
905272209221320,2367000.0,5,-0.069928915
905272209221320,2367000.0,6,-0.069928915
905272209221320,2970000.0,7,-0.069928915
905272458788825,1950000.0,0,0.17963859
905272458788825,1950000.0,1,0.17963859
905272458788825,1950000.0,2,0.17963859
905272458788825,1950000.0,3,0.17963859
905272458788825,2367000.0,4,0.17963859
905272458788825,2367000.0,5,0.17963859
905272458788825,2367000.0,6,0.17963859
905272458788825,2970000.0,7,0.17963859
