timestamp_ns,frequency,time_relative_s
904582160744787,160000.0,-0.101518392
904582160794795,150000.0,-0.101468384
904582164283361,0.0,-0.097979818
904582164284785,0.0,-0.097978394
904582178085444,160000.0,-0.084177735
904582178122717,150000.0,-0.084140462
904582181502966,0.0,-0.080760213
904582181504797,0.0,-0.080758382
904582194773351,160000.0,-0.067489828
904582194806188,150000.0,-0.067456991
904582198173498,0.0,-0.064089681
904582198175573,0.0,-0.064087606
904582211687821,160000.0,-0.050575358
904582211736934,150000.0,-0.050526245
904582215095373,0.0,-0.047167806
904582215097082,0.0,-0.047166097
904582227680456,160000.0,-0.034582723
904582227712276,150000.0,-0.034550903
904582231047806,0.0,-0.031215373
904582231048620,0.0,-0.031214559
904582244925858,160000.0,-0.017337321
904582244958735,150000.0,-0.017304444
904582248339432,0.0,-0.013923747
904582248340775,0.0,-0.013922404
904582253934118,160000.0,-0.008329061
904582253951086,150000.0,-0.008312093
904582256731807,0.0,-0.005531372
904582256732539,0.0,-0.00553064
904582261202876,160000.0,-0.001060303
904582261248408,150000.0,-0.001014771
904582264780757,0.0,0.002517578
904582264782222,0.0,0.002519043
904582278333084,160000.0,0.016069905
904582278349605,150000.0,0.016086426
904582281697627,0.0,0.019434448
904582281699011,0.0,0.019435832
904582282371781,160000.0,0.020108602
904582282402583,150000.0,0.020139404
904582286892614,0.0,0.024629435
904582286893875,0.0,0.024630696
904582289417232,160000.0,0.027154053
904582289420080,150000.0,0.027156901
904582293415441,0.0,0.031152262
904582293416459,0.0,0.03115328
904582294248775,160000.0,0.031985596
904582294273596,150000.0,0.032010417
904582298025182,0.0,0.035762003
904582298025874,0.0,0.035762695
904582303310054,531000.0,0.041046875
904582303348343,376000.0,0.041085164
904582305963618,0.0,0.043700439
904582305964432,0.0,0.043701253
904582311392289,531000.0,0.04912911
904582311423010,376000.0,0.049159831
904582313786047,0.0,0.051522868
904582313786983,0.0,0.051523804
904582327792639,430000.0,0.06552946
904582327806270,337000.0,0.065543091
904582330319006,0.0,0.068055827
904582330319820,0.0,0.068056641
904582332202347,430000.0,0.069939168
904582332231278,337000.0,0.069968099
904582334545853,0.0,0.072282674
904582334546219,0.0,0.07228304
904582344871170,386000.0,0.082607991
904582344894649,302000.0,0.08263147
904582347513789,0.0,0.08525061
904582347514684,0.0,0.085251505
904582349184810,386000.0,0.086921631
904582349209305,302000.0,0.086946126
904582351640458,0.0,0.089377279
904582351641231,0.0,0.089378052
904582354233068,386000.0,0.091969889
904582354258011,302000.0,0.091994832
904582356385209,0.0,0.09412203
904582356385860,0.0,0.094122681
904582361040807,386000.0,0.098777628
904582361059403,302000.0,0.098796224
904582363684810,0.0,0.101421631
904582363685827,0.0,0.101422648
904582364988155,386000.0,0.102724976
904582364999670,302000.0,0.102736491
904582367458898,0.0,0.105195719
904582367459834,0.0,0.105196655
904582378138464,386000.0,0.115875285
904582378162674,302000.0,0.115899495
904582381511592,0.0,0.119248413
904582381512487,0.0,0.119249308
904582394540279,386000.0,0.1322771
904582394551509,302000.0,0.13228833
904582397559037,0.0,0.135295858
904582397559403,0.0,0.135296224
904582398597855,386000.0,0.136334676
904582398603836,302000.0,0.136340657
904582400117875,0.0,0.137854696
904582400118281,0.0,0.137855102
904582411238399,386000.0,0.14897522
904582411265091,302000.0,0.149001912
904582416362137,0.0,0.154098958
904582416362829,0.0,0.15409965
904582420434444,386000.0,0.158171265
904582420450313,302000.0,0.158187134
904582423123083,0.0,0.160859904
904582423123978,0.0,0.160860799
904582424370845,386000.0,0.162107666
904582424382726,302000.0,0.162119547
904582426534094,0.0,0.164270915
904582426535111,0.0,0.164271932
904582429191035,386000.0,0.166927856
904582429208695,302000.0,0.166945516
904582438995682,0.0,0.176732503
904582438996984,0.0,0.176733805
904582440692215,386000.0,0.178429036
904582440705073,302000.0,0.178441894
904582443991735,0.0,0.181728556
904582443992020,0.0,0.181728841
904582445916499,430000.0,0.18365332
904582445924881,337000.0,0.183661702
904582448439367,0.0,0.186176188
904582448439855,0.0,0.186176676
904582449487178,430000.0,0.187223999
904582449502844,337000.0,0.187239665
904582453005285,0.0,0.190742106
904582453005936,0.0,0.190742757
904582454046423,430000.0,0.191783244
904582454055822,337000.0,0.191792643
904582456236201,0.0,0.193973022
904582456237178,0.0,0.193973999
904582463294714,659000.0,0.201031535
904582463311519,467000.0,0.20104834
904582465914872,0.0,0.203651693
904582465915563,0.0,0.203652384
904582478535559,659000.0,0.21627238
904582478545853,467000.0,0.216282674
904582480764278,0.0,0.218501099
904582480765051,0.0,0.218501872
904582496598588,531000.0,0.234335409
904582496607539,419000.0,0.23434436
904582498914302,0.0,0.236651123
904582498914872,0.0,0.236651693
904582500080155,531000.0,0.237816976
904582500089229,419000.0,0.23782605
904582500604528,376000.0,0.238341349
904582501557368,0.0,0.239294189
904582501557735,0.0,0.239294556
904582512775427,430000.0,0.250512248
904582512787268,337000.0,0.250524089
904582515225622,0.0,0.252962443
904582515226110,0.0,0.252962931
904582528187577,386000.0,0.265924398
904582528193762,302000.0,0.265930583
904582530754593,0.0,0.268491414
904582530755366,0.0,0.268492187
904582545040319,386000.0,0.28277714
904582545055537,302000.0,0.282792358
904582547571000,0.0,0.285307821
904582547571244,0.0,0.285308065
904582554398799,160000.0,0.29213562
904582554411657,150000.0,0.292148478
904582557295202,0.0,0.295032023
904582557295528,0.0,0.295032349
904582561791092,160000.0,0.299527913
904582561803218,150000.0,0.299540039
904582565523962,0.0,0.303260783
904582565524694,0.0,0.303261515
904582578918005,160000.0,0.316654826
904582578944413,150000.0,0.316681234
904582582461218,0.0,0.320198039
904582582462438,0.0,0.320199259
904582595330603,160000.0,0.333067424
904582595357621,150000.0,0.333094442
904582601254471,0.0,0.338991292
904582601255407,0.0,0.338992228
