timestamp_ns,frequency,cpu,time_relative_s
904904209209869,1849000.0,0,0.116226766
904904209209869,1849000.0,1,0.116226766
904904209209869,1849000.0,2,0.116226766
904904209209869,1849000.0,3,0.116226766
904904209209869,2245000.0,4,0.116226766
904904209209869,2245000.0,5,0.116226766
904904209209869,2245000.0,6,0.116226766
904904209209869,2914000.0,7,0.116226766
904904458858348,1849000.0,0,0.365875245
904904458858348,1849000.0,1,0.365875245
904904458858348,1849000.0,2,0.365875245
904904458858348,1849000.0,3,0.365875245
904904458858348,2245000.0,4,0.365875245
904904458858348,2245000.0,5,0.365875245
904904458858348,2245000.0,6,0.365875245
904904458858348,2914000.0,7,0.365875245
904904559211660,1548000.0,0,0.466228557
904904559212514,1548000.0,1,0.466229411
904904559213247,1548000.0,2,0.466230144
904904559213938,1548000.0,3,0.466230835
