timestamp_ns,frequency,cpu,time_relative_s
904621459176691,1950000.0,0,0.057342774
904621459176691,1950000.0,1,0.057342774
904621459176691,1950000.0,2,0.057342774
904621459176691,1950000.0,3,0.057342774
904621459176691,2600000.0,4,0.057342774
904621459176691,2600000.0,5,0.057342774
904621459176691,2600000.0,6,0.057342774
904621459176691,3105000.0,7,0.057342774
904621708544001,1950000.0,0,0.306710084
904621708544001,1950000.0,1,0.306710084
904621708544001,1950000.0,2,0.306710084
904621708544001,1950000.0,3,0.306710084
904621708544001,2600000.0,4,0.306710084
904621708544001,2600000.0,5,0.306710084
904621708544001,2600000.0,6,0.306710084
904621708544001,3105000.0,7,0.306710084
