timestamp_ns,frequency,cpu,time_relative_s
904700896218844,2802000.0,7,-0.070930542
904700905549288,2294000.0,7,-0.061600098
904700909359713,2147000.0,7,-0.057789673
904700912202283,2294000.0,7,-0.054947103
904700923701998,2363000.0,7,-0.043447388
904700926394584,2450000.0,4,-0.040754802
904700926397026,2450000.0,5,-0.04075236
904700926399223,2450000.0,6,-0.040750163
904700928891492,2600000.0,4,-0.038257894
904700928893730,2600000.0,5,-0.038255656
904700928895846,2600000.0,6,-0.03825354
904700932942517,357000.0,4,-0.034206869
904700932944755,357000.0,5,-0.034204631
904700932946912,357000.0,6,-0.034202474
904700935326347,2450000.0,4,-0.031823039
904700935328056,2450000.0,5,-0.03182133
904700935329643,2450000.0,6,-0.031819743
904700936515800,2600000.0,4,-0.030633586
904700936517428,2600000.0,5,-0.030631958
904700936518933,2600000.0,6,-0.030630453
904700940224459,357000.0,4,-0.026924927
904700940225965,357000.0,5,-0.026923421
904700940227714,357000.0,6,-0.026921672
904700942535372,2600000.0,4,-0.024614014
904700942536878,2600000.0,5,-0.024612508
904700942538383,2600000.0,6,-0.024611003
904700944443168,700000.0,7,-0.022706218
904700947743502,1098000.0,0,-0.019405884
904700947746025,1098000.0,1,-0.019403361
904700947747937,1098000.0,2,-0.019401449
904700947749443,1098000.0,3,-0.019399943
904700953038343,910000.0,4,-0.014111043
904700953039523,910000.0,5,-0.014109863
904700953040703,910000.0,6,-0.014108683
904700953223889,2294000.0,7,-0.013925497
904700956280001,1065000.0,4,-0.010869385
904700956281751,1065000.0,5,-0.010867635
904700956283460,1065000.0,6,-0.010865926
904700956604179,578000.0,4,-0.010545207
904700956605929,578000.0,5,-0.010543457
904700956607679,578000.0,6,-0.010541707
904700957343315,787000.0,4,-0.009806071
904700957344943,787000.0,5,-0.009804443
904700957346733,787000.0,6,-0.009802653
904700957779798,820000.0,0,-0.009369588
904700957781018,820000.0,1,-0.009368368
904700957782320,820000.0,2,-0.009367066
904700957783460,820000.0,3,-0.009365926
904700957838961,578000.0,4,-0.009310425
904700957840304,578000.0,5,-0.009309082
904700957841484,578000.0,6,-0.009307902
904700958887952,820000.0,0,-0.008261434
904700958887952,820000.0,1,-0.008261434
904700958887952,820000.0,2,-0.008261434
904700958887952,820000.0,3,-0.008261434
904700958887952,2600000.0,4,-0.008261434
904700958887952,2600000.0,5,-0.008261434
904700958887952,2600000.0,6,-0.008261434
904700958887952,2294000.0,7,-0.008261434
904700959110039,2600000.0,4,-0.008039347
904700959112195,2600000.0,5,-0.008037191
904700959114392,2600000.0,6,-0.008034994
904700960206027,578000.0,4,-0.006943359
904700960208264,578000.0,5,-0.006941122
904700960210380,578000.0,6,-0.006939006
904700964248019,2600000.0,4,-0.002901367
904700964250257,2600000.0,5,-0.002899129
904700964252373,2600000.0,6,-0.002897013
904700967668225,648000.0,4,0.000518839
904700967669812,648000.0,5,0.000520426
904700967671440,648000.0,6,0.000522054
904700967777275,1950000.0,0,0.000627889
904700967778862,1950000.0,1,0.000629476
904700967780408,1950000.0,2,0.000631022
904700967781954,1950000.0,3,0.000632568
904700967931897,2600000.0,4,0.000782511
904700967933444,2600000.0,5,0.000784058
904700967934990,2600000.0,6,0.000785604
904700971184583,787000.0,4,0.004035197
904700971185030,787000.0,5,0.004035644
904700971185315,787000.0,6,0.004035929
904700972094251,2600000.0,4,0.004944865
904700972094983,2600000.0,5,0.004945597
904700972095675,2600000.0,6,0.004946289
904700973285372,2499000.0,7,0.006135986
904700995934827,1221000.0,4,0.028785441
904700995935234,1221000.0,5,0.028785848
904700995935559,1221000.0,6,0.028786173
904700996735201,2600000.0,4,0.029585815
904700996736137,2600000.0,5,0.029586751
904700996737114,2600000.0,6,0.029587728
904701008216728,1548000.0,0,0.041067342
904701008217420,1548000.0,1,0.041068034
904701008218071,1548000.0,2,0.041068685
904701008218681,1548000.0,3,0.041069295
904701008256726,1221000.0,4,0.04110734
904701008257825,1221000.0,5,0.041108439
904701008258802,1221000.0,6,0.041109416
904701009295301,2245000.0,4,0.042145915
904701009296603,2245000.0,5,0.042147217
904701009298149,2245000.0,6,0.042148763
904701010877495,2600000.0,4,0.043728109
904701010878512,2600000.0,5,0.043729126
904701010879366,2600000.0,6,0.04372998
904701018229261,1950000.0,0,0.051079875
904701018230319,1950000.0,1,0.051080933
904701018231132,1950000.0,2,0.051081746
904701018231946,1950000.0,3,0.05108256
904701023552421,1221000.0,4,0.056403035
904701023553235,1221000.0,5,0.056403849
904701023554049,1221000.0,6,0.056404663
904701027654391,2245000.0,4,0.060505005
904701027655123,2245000.0,5,0.060505737
904701027655815,2245000.0,6,0.060506429
904701028168266,2600000.0,4,0.06101888
904701028168917,2600000.0,5,0.061019531
904701028169568,2600000.0,6,0.061020182
904701046310112,1328000.0,4,0.079160726
904701046310559,1328000.0,5,0.079161173
904701046310763,1328000.0,6,0.079161377
904701047043754,2600000.0,4,0.079894368
904701047044446,2600000.0,5,0.07989506
904701047045179,2600000.0,6,0.079895793
904701051796725,3105000.0,7,0.084647339
904701055917534,1065000.0,4,0.088768148
904701055918185,1065000.0,5,0.088768799
904701055918877,1065000.0,6,0.088769491
904701060957654,2600000.0,4,0.093808268
904701060958590,2600000.0,5,0.093809204
904701060959322,2600000.0,6,0.093809936
904701070278496,1696000.0,0,0.10312911
904701070279187,1696000.0,1,0.103129801
904701070279920,1696000.0,2,0.103130534
904701070280571,1696000.0,3,0.103131185
904701075554130,1065000.0,4,0.108404744
904701075554863,1065000.0,5,0.108405477
904701075555677,1065000.0,6,0.108406291
904701077839978,2600000.0,4,0.110690592
904701077841077,2600000.0,5,0.110691691
904701077841809,2600000.0,6,0.110692423
904701080363741,1098000.0,0,0.113214355
904701080364555,1098000.0,1,0.113215169
904701080365288,1098000.0,2,0.113215902
904701080366020,1098000.0,3,0.113216634
904701085959404,1065000.0,4,0.118810018
904701085960869,1065000.0,5,0.118811483
904701085962008,1065000.0,6,0.118812622
904701086646700,2245000.0,4,0.119497314
904701086648531,2245000.0,5,0.119499145
904701086649996,2245000.0,6,0.11950061
904701087170952,2600000.0,4,0.120021566
904701087172213,2600000.0,5,0.120022827
904701087173352,2600000.0,6,0.120023966
904701092198255,1328000.0,0,0.125048869
904701092199435,1328000.0,1,0.125050049
904701092200574,1328000.0,2,0.125051188
904701092201673,1328000.0,3,0.125052287
904701102251315,1950000.0,0,0.135101929
