timestamp_ns,frequency,time_relative_s
904700976533256,386000.0,0.00938387
904700976546155,302000.0,0.009396769
904700978543388,0.0,0.011394002
904700978544283,0.0,0.011394897
904701013167290,386000.0,0.046017904
904701013201754,302000.0,0.046052368
904701014471489,0.0,0.047322103
904701014472465,0.0,0.047323079
904701017545870,386000.0,0.050396484
904701017577283,302000.0,0.050427897
904701020202609,0.0,0.053053223
904701020203463,0.0,0.053054077
904701021932793,386000.0,0.054783407
904701021943331,302000.0,0.054793945
904701024355441,0.0,0.057206055
904701024356417,0.0,0.057207031
904701029239555,386000.0,0.062090169
904701029253390,302000.0,0.062104004
904701033131197,0.0,0.065981811
904701033131971,0.0,0.065982585
904701045640841,386000.0,0.078491455
904701045662447,302000.0,0.078513061
904701049252576,0.0,0.08210319
904701049253349,0.0,0.082103963
904701049547050,386000.0,0.082397664
904701049568779,302000.0,0.082419393
904701052190646,0.0,0.08504126
904701052191215,0.0,0.085041829
904701062473564,386000.0,0.095324178
904701062498955,302000.0,0.095349569
904701064863660,0.0,0.097714274
904701064864230,0.0,0.097714844
904701066006320,386000.0,0.098856934
904701066014539,302000.0,0.098865153
904701068629895,0.0,0.101480509
904701068630587,0.0,0.101481201
904701079035820,386000.0,0.111886434
904701079059461,302000.0,0.111910075
904701081423027,0.0,0.114273641
904701081424044,0.0,0.114274658
904701082653781,386000.0,0.115504395
904701082689547,302000.0,0.115540161
904701085315320,0.0,0.118165934
904701085316622,0.0,0.118167236
904701085414401,386000.0,0.118265015
904701085448702,302000.0,0.118299316
904701088716484,0.0,0.121567098
904701088717013,0.0,0.121567627
904701095416842,386000.0,0.128267456
904701095437553,302000.0,0.128288167
904701097475558,0.0,0.130326172
904701097476453,0.0,0.130327067
904701099486503,386000.0,0.132337117
904701099522392,302000.0,0.132373006
904701102082044,0.0,0.134932658
904701102083468,0.0,0.134934082
904701111934502,430000.0,0.144785116
904701111962618,337000.0,0.144813232
904701113920423,0.0,0.146771037
904701113920830,0.0,0.146771444
904701116284925,430000.0,0.149135539
904701116296725,337000.0,0.149147339
904701117623263,386000.0,0.150473877
904701117635348,302000.0,0.150485962
904701118840711,0.0,0.151691325
904701118841525,0.0,0.151692139
904701128533541,386000.0,0.161384155
904701128564832,302000.0,0.161415446
904701130612602,0.0,0.163463216
904701130613212,0.0,0.163463826
904701132659477,386000.0,0.165510091
904701132681613,302000.0,0.165532227
904701135269056,0.0,0.16811967
904701135270032,0.0,0.168120646
904701136652682,430000.0,0.169503296
904701136663099,337000.0,0.169513713
904701139753960,0.0,0.172604574
904701139754855,0.0,0.172605469
904701151006238,430000.0,0.183856852
904701151042290,337000.0,0.183892904
904701153590914,0.0,0.186441528
904701153591687,0.0,0.186442301
904701166092786,430000.0,0.1989434
904701166106702,337000.0,0.198957316
904701168617526,0.0,0.20146814
904701168617810,0.0,0.201468424
904701182673475,386000.0,0.215524089
904701182707166,302000.0,0.21555778
904701185297864,0.0,0.218148478
904701185298719,0.0,0.218149333
904701199251396,386000.0,0.23210201
904701199271700,302000.0,0.232122314
904701201891492,0.0,0.234742106
904701201892184,0.0,0.234742798
904701215955660,160000.0,0.248806274
904701215972506,150000.0,0.24882312
904701219596163,0.0,0.252446777
904701219596896,0.0,0.25244751
904701221632133,160000.0,0.254482747
904701221645032,150000.0,0.254495646
904701221951225,386000.0,0.254801839
904701221962212,302000.0,0.254812826
904701223241875,0.0,0.256092489
904701223242444,0.0,0.256093058
904701234476982,386000.0,0.267327596
904701234494804,302000.0,0.267345418
904701238984021,0.0,0.271834635
904701238984917,0.0,0.271835531
904701239303846,386000.0,0.27215446
904701239314832,302000.0,0.272165446
904701241859225,0.0,0.274709839
904701241859835,0.0,0.274710449
904701249644300,386000.0,0.282494914
904701249669284,302000.0,0.282519898
904701252299980,0.0,0.285150594
904701252300957,0.0,0.285151571
904701265984917,386000.0,0.298835531
904701266003756,302000.0,0.29885437
904701268640923,0.0,0.301491537
904701268641451,0.0,0.301492065
904701284407850,160000.0,0.317258464
904701284410169,150000.0,0.317260783
904701289537000,0.0,0.322387614
904701289537977,0.0,0.322388591
904701299484917,160000.0,0.332335531
904701299501071,150000.0,0.332351685
904701303285332,0.0,0.336135946
904701303286023,0.0,0.336136637
904701316189954,160000.0,0.349040568
904701316197441,150000.0,0.349048055
904701316499158,386000.0,0.349349772
904701316505750,302000.0,0.349356364
904701317729627,0.0,0.350580241
904701317730034,0.0,0.350580648
904701318060356,386000.0,0.35091097
904701318065320,302000.0,0.350915934
