timestamp_ns,frequency,time_relative_s
904863671749970,950000.0,-0.106964152
904863671778127,940000.0,-0.106935995
904863674785167,0.0,-0.103928955
904863674785777,0.0,-0.103928345
904863679553762,950000.0,-0.09916036
904863679586029,940000.0,-0.099128093
904863681982229,0.0,-0.096731893
904863681982921,0.0,-0.096731201
904863682669648,950000.0,-0.096044474
904863682680919,940000.0,-0.096033203
904863684262869,0.0,-0.094451253
904863684263560,0.0,-0.094450562
904863686689464,950000.0,-0.092024658
904863686702810,940000.0,-0.092011312
904863689672089,0.0,-0.089042033
904863689672903,0.0,-0.089041219
904863692648123,950000.0,-0.086065999
904863692682099,940000.0,-0.086032023
904863695997244,0.0,-0.082716878
904863695998424,0.0,-0.082715698
904863698883067,950000.0,-0.079831055
904863698892141,940000.0,-0.079821981
904863700590953,0.0,-0.078123169
904863700591726,0.0,-0.078122396
904863700930227,950000.0,-0.077783895
904863700939545,940000.0,-0.077774577
904863702719249,0.0,-0.075994873
904863702719819,0.0,-0.075994303
904863706422862,950000.0,-0.07229126
904863706441783,940000.0,-0.072272339
904863709536062,0.0,-0.06917806
904863709537120,0.0,-0.069177002
904863715716685,950000.0,-0.062997437
904863715759369,940000.0,-0.062954753
904863718175670,0.0,-0.060538452
904863718176606,0.0,-0.060537516
904863718881725,950000.0,-0.059832397
904863718890473,940000.0,-0.059823649
904863720539928,0.0,-0.058174194
904863720540660,0.0,-0.058173462
904863723417532,950000.0,-0.05529659
904863723454234,940000.0,-0.055259888
904863726525198,0.0,-0.052188924
904863726526093,0.0,-0.052188029
904863730087901,950000.0,-0.048626221
904863730120697,940000.0,-0.048593425
904863733002045,0.0,-0.045712077
904863733002940,0.0,-0.045711182
904863735859996,950000.0,-0.042854126
904863735871878,940000.0,-0.042842244
904863738978282,0.0,-0.03973584
904863738979096,0.0,-0.039735026
904863742843598,950000.0,-0.035870524
904863742855886,940000.0,-0.035858236
904863745439749,0.0,-0.033274373
904863745440359,0.0,-0.033273763
904863749625947,950000.0,-0.029088175
904863749657278,940000.0,-0.029056844
904863752492971,0.0,-0.026221151
904863752493744,0.0,-0.026220378
904863755507986,950000.0,-0.023206136
904863755535126,940000.0,-0.023178996
904863758094859,0.0,-0.020619263
904863758095592,0.0,-0.02061853
904863761777232,950000.0,-0.01693689
904863761801077,940000.0,-0.016913045
904863765127778,0.0,-0.013586344
904863765128510,0.0,-0.013585612
904863772805471,950000.0,-0.005908651
904863772837535,940000.0,-0.005876587
904863775702444,0.0,-0.003011678
904863775703380,0.0,-0.003010742
904863782521943,950000.0,0.003807821
904863782555675,940000.0,0.003841553
904863783858043,0.0,0.005143921
904863783858450,0.0,0.005144328
904863787214732,950000.0,0.00850061
904863787224010,940000.0,0.008509888
904863788909963,0.0,0.010195841
904863788910574,0.0,0.010196452
904863791006480,950000.0,0.012292358
904863791029755,940000.0,0.012315633
904863792638072,0.0,0.01392395
904863792638927,0.0,0.013924805
904863797797740,950000.0,0.019083618
904863797828868,940000.0,0.019114746
904863802289806,0.0,0.023575684
904863802291026,0.0,0.023576904
904863804739106,950000.0,0.026024984
904863804766978,940000.0,0.026052856
904863806283824,0.0,0.027569702
904863806284394,0.0,0.027570272
904863806818980,950000.0,0.028104858
904863806833425,940000.0,0.028119303
904863808885875,0.0,0.030171753
904863808886241,0.0,0.030172119
904863810919404,950000.0,0.032205282
904863810928152,940000.0,0.03221403
904863813632050,0.0,0.034917928
904863813632782,0.0,0.03491866
904863817036998,950000.0,0.038322876
904863817059744,940000.0,0.038345622
904863818878469,0.0,0.040164347
904863818878836,0.0,0.040164714
904863823355398,950000.0,0.044641276
904863823373342,940000.0,0.04465922
904863824670462,0.0,0.04595634
904863824671031,0.0,0.045956909
904863828734060,950000.0,0.050019938
904863828749644,940000.0,0.050035522
904863830386363,0.0,0.051672241
904863830387421,0.0,0.051673299
904863830987885,950000.0,0.052273763
904863830999075,940000.0,0.052284953
904863833547089,0.0,0.054832967
904863833547781,0.0,0.054833659
904863836587616,950000.0,0.057873494
904863836626069,940000.0,0.057911947
904863838867646,0.0,0.060153524
904863838868215,0.0,0.060154093
904863841790619,950000.0,0.063076497
904863841814708,940000.0,0.063100586
904863843474376,0.0,0.064760254
904863843475108,0.0,0.064760986
904863848128510,950000.0,0.069414388
904863848153331,940000.0,0.069439209
904863849732026,0.0,0.071017904
904863849732758,0.0,0.071018636
904863850400768,950000.0,0.071686646
904863850411754,940000.0,0.071697632
904863853346243,0.0,0.074632121
904863853347626,0.0,0.074633504
904863853924083,950000.0,0.075209961
904863853950654,940000.0,0.075236532
904863855979544,0.0,0.077265422
904863855979950,0.0,0.077265828
904863858654959,950000.0,0.079940837
904863858679658,940000.0,0.079965536
904863862113943,0.0,0.083399821
904863862114675,0.0,0.083400553
904863865537934,950000.0,0.086823812
904863865559581,940000.0,0.086845459
904863868712820,0.0,0.089998698
904863868713878,0.0,0.089999756
904863870573904,950000.0,0.091859782
904863870609426,940000.0,0.091895304
904863872588959,0.0,0.093874837
904863872589651,0.0,0.093875529
904863873813691,950000.0,0.095099569
904863873824881,940000.0,0.095110759
904863876465668,0.0,0.097751546
904863876466401,0.0,0.097752279
904863880015961,950000.0,0.101301839
904863880042857,940000.0,0.101328735
904863883345266,0.0,0.104631144
904863883346080,0.0,0.104631958
904863886184500,950000.0,0.107470378
904863886214488,940000.0,0.107500366
904863889094290,0.0,0.110380168
904863889095348,0.0,0.110381226
904863889474986,950000.0,0.110760864
904863889494518,940000.0,0.110780396
904863891297171,0.0,0.112583049
904863891297740,0.0,0.112583618
904863895784312,950000.0,0.11707019
904863895813894,940000.0,0.117099772
904863899258800,0.0,0.120544678
904863899259532,0.0,0.12054541
904863902629080,950000.0,0.123914958
904863902650564,940000.0,0.123936442
904863904574311,0.0,0.125860189
904863904575043,0.0,0.125860921
904863908399140,950000.0,0.129685018
904863908419363,940000.0,0.129705241
904863910103119,0.0,0.131388997
904863910103567,0.0,0.131389445
904863911281098,950000.0,0.132566976
904863911297944,940000.0,0.132583822
904863915097016,0.0,0.136382894
904863915097545,0.0,0.136383423
904863916196910,950000.0,0.137482788
904863916211681,940000.0,0.137497559
904863916432872,0.0,0.13771875
904863916433116,0.0,0.137718994
904863919323375,950000.0,0.140609253
904863919339651,940000.0,0.140625529
904863921140147,0.0,0.142426025
904863921140514,0.0,0.142426392
904863922225190,950000.0,0.143511068
904863922232433,940000.0,0.143518311
904863923897553,0.0,0.145183431
904863923898204,0.0,0.145184082
904863925083873,950000.0,0.146369751
904863925099213,940000.0,0.146385091
904863928250825,0.0,0.149536703
904863928251557,0.0,0.149537435
904863935996511,950000.0,0.157282389
904863936025768,940000.0,0.157311646
904863937852916,0.0,0.159138794
904863937853445,0.0,0.159139323
904863942508189,950000.0,0.163794067
904863942524669,940000.0,0.163810547
904863944301240,0.0,0.165587118
904863944301687,0.0,0.165587565
904863950060558,950000.0,0.171346436
904863950080007,940000.0,0.171365885
904863951983816,0.0,0.173269694
904863951984426,0.0,0.173270304
904863952772512,950000.0,0.17405839
904863952778535,940000.0,0.174064413
904863954395437,0.0,0.175681315
904863954395722,0.0,0.1756816
904863962742442,950000.0,0.18402832
904863962751760,940000.0,0.184037638
904863964831513,0.0,0.186117391
904863964831798,0.0,0.186117676
904863974644501,950000.0,0.195930379
904863974665904,940000.0,0.195951782
904863977409638,0.0,0.198695516
904863977410452,0.0,0.19869633
904863986581188,950000.0,0.207867066
904863986593232,940000.0,0.20787911
904863990647594,0.0,0.211933472
904863990648489,0.0,0.211934367
904863994817923,950000.0,0.216103801
904863994832042,940000.0,0.21611792
904863996724295,0.0,0.218010173
904863996724824,0.0,0.218010702
904864003418508,950000.0,0.224704386
904864003433605,940000.0,0.224719483
904864004984955,0.0,0.226270833
904864004985078,0.0,0.226270956
904864006773367,950000.0,0.228059245
904864006788219,940000.0,0.228074097
904864009310151,0.0,0.230596029
904864009310720,0.0,0.230596598
904864013714610,950000.0,0.235000488
904864013736746,940000.0,0.235022624
904864016295299,0.0,0.237581177
904864016295746,0.0,0.237581624
904864020426077,950000.0,0.241711955
904864020446870,940000.0,0.241732748
904864022270559,0.0,0.243556437
904864022271251,0.0,0.243557129
904864022750255,950000.0,0.244036133
904864022765595,940000.0,0.244051473
904864024483898,0.0,0.245769776
904864024484426,0.0,0.245770304
904864024843924,950000.0,0.246129802
904864024864431,940000.0,0.246150309
904864026747691,0.0,0.248033569
904864026748180,0.0,0.248034058
904864031678925,950000.0,0.252964803
904864031701467,940000.0,0.252987345
904864035403860,0.0,0.256689738
904864035404755,0.0,0.256690633
904864040673432,950000.0,0.26195931
904864040699067,940000.0,0.261984945
904864044374156,0.0,0.265660034
904864044374645,0.0,0.265660523
904864047671398,950000.0,0.268957276
904864047686941,940000.0,0.268972819
904864049595714,0.0,0.270881592
904864049595999,0.0,0.270881877
904864055529552,950000.0,0.27681543
904864055539643,940000.0,0.276825521
904864059064912,0.0,0.28035079
904864059065847,0.0,0.280351725
904864060178722,950000.0,0.2814646
904864060194672,940000.0,0.28148055
904864062098766,0.0,0.283384644
904864062099213,0.0,0.283385091
904864066820201,950000.0,0.288106079
904864066834443,940000.0,0.288120321
904864069755138,0.0,0.291041016
904864069756277,0.0,0.291042155
904864075830903,950000.0,0.297116781
904864075848237,940000.0,0.297134115
904864078908539,0.0,0.300194417
