timestamp_ns,frequency,time_relative_s
905110714077687,950000.0,-0.092045939
905110714110605,940000.0,-0.092013021
905110715717986,0.0,-0.09040564
905110715718637,0.0,-0.090404989
905110812400400,950000.0,0.006276774
905110812439991,940000.0,0.006316365
905110815669321,0.0,0.009545695
905110815670216,0.0,0.00954659
905110832403085,950000.0,0.026279459
905110832426645,940000.0,0.026303019
905110834572031,0.0,0.028448405
905110834572885,0.0,0.028449259
905110848198536,950000.0,0.04207491
905110848226002,940000.0,0.042102376
905110849478566,0.0,0.04335494
905110849479176,0.0,0.04335555
905110863682138,950000.0,0.057558512
905110863705535,940000.0,0.057581909
905110865831471,0.0,0.059707845
905110865832122,0.0,0.059708496
905110880169565,950000.0,0.074045939
905110880183400,940000.0,0.074059774
905110882108204,0.0,0.075984578
905110882108896,0.0,0.07598527
905110897049570,950000.0,0.090925944
905110897088266,940000.0,0.09096464
905110898977141,0.0,0.092853515
905110898978077,0.0,0.092854451
905110913584970,950000.0,0.107461344
905110913613046,940000.0,0.10748942
905110915497731,0.0,0.109374105
905110915498463,0.0,0.109374837
905110918050384,950000.0,0.111926758
905110918071298,940000.0,0.111947672
905110919839243,0.0,0.113715617
905110919839894,0.0,0.113716268
905110929944508,950000.0,0.123820882
905110929964243,940000.0,0.123840617
905110931757740,0.0,0.125634114
905110931758391,0.0,0.125634765
905110946646778,950000.0,0.140523152
905110946676238,940000.0,0.140552612
905110948423471,0.0,0.142299845
905110948424244,0.0,0.142300618
905110964233123,950000.0,0.158109497
905110964247405,940000.0,0.158123779
905110966007903,0.0,0.159884277
905110966008758,0.0,0.159885132
905111017647755,950000.0,0.211524129
905111017660817,940000.0,0.211537191
905111019467579,0.0,0.213343953
905111019468312,0.0,0.213344686
905111096863046,950000.0,0.29073942
905111096876596,940000.0,0.29075297
905111097060434,0.0,0.290936808
905111097060556,0.0,0.29093693
905111101212574,950000.0,0.295088948
905111101230763,940000.0,0.295107137
905111104248300,0.0,0.298124674
905111104249033,0.0,0.298125407
905111120981495,950000.0,0.314857869
905111120996917,940000.0,0.314873291
905111122765797,0.0,0.316642171
905111122766326,0.0,0.3166427
905111132927052,950000.0,0.326803426
905111132934946,940000.0,0.32681132
905111134209685,0.0,0.328086059
905111134210052,0.0,0.328086426
905111214565073,950000.0,0.408441447
905111214574432,940000.0,0.408450806
905111216268768,0.0,0.410145142
905111216268890,0.0,0.410145264
905111218750131,950000.0,0.412626505
905111218776336,940000.0,0.41265271
905111220530649,0.0,0.414407023
905111220531300,0.0,0.414407674
905111266464650,950000.0,0.460341024
905111266487640,940000.0,0.460364014
905111267741668,0.0,0.461618042
905111267742278,0.0,0.461618652
905111318769907,950000.0,0.512646281
905111318788746,940000.0,0.51266512
905111320460947,0.0,0.514337321
905111320461557,0.0,0.514337931
905111322403533,950000.0,0.516279907
905111322410532,940000.0,0.516286906
905111323674041,0.0,0.517550415
905111323674692,0.0,0.517551066
905111345019337,950000.0,0.538895711
905111345050099,940000.0,0.538926473
905111347405690,0.0,0.541282064
905111347406259,0.0,0.541282633
905111350690236,950000.0,0.54456661
905111350700164,940000.0,0.544576538
905111352004241,0.0,0.545880615
905111352004689,0.0,0.545881063
905111356204192,950000.0,0.550080566
905111356228688,940000.0,0.550105062
905111359338917,0.0,0.553215291
905111359339935,0.0,0.553216309
905111364283457,950000.0,0.558159831
905111364292897,940000.0,0.558169271
905111366729787,0.0,0.560606161
905111366730722,0.0,0.560607096
905111381789845,950000.0,0.575666219
905111381805999,940000.0,0.575682373
905111383634124,0.0,0.577510498
905111383634856,0.0,0.57751123
905111392247039,950000.0,0.586123413
905111392272064,940000.0,0.586148438
905111395268727,0.0,0.589145101
905111395269459,0.0,0.589145833
905111396856292,950000.0,0.590732666
905111396867523,940000.0,0.590743897
905111400553191,0.0,0.594429565
905111400554127,0.0,0.594430501
905111413610605,950000.0,0.607486979
905111413625091,940000.0,0.607501465
905111416790293,0.0,0.610666667
905111416791025,0.0,0.610667399
905111420363657,950000.0,0.614240031
905111420376881,940000.0,0.614253255
905111422168833,0.0,0.616045207
905111422169769,0.0,0.616046143
905111429913340,950000.0,0.623789714
905111429941334,940000.0,0.623817708
905111431679982,0.0,0.625556356
905111431680714,0.0,0.625557088
905111431697316,950000.0,0.62557369
905111431708628,940000.0,0.625585002
905111433520151,0.0,0.627396525
905111433520639,0.0,0.627397013
905111446293426,950000.0,0.6401698
905111446314666,940000.0,0.64019104
905111448265960,0.0,0.642142334
905111448266530,0.0,0.642142904
905111450715464,950000.0,0.644591838
905111450749033,940000.0,0.644625407
905111452800506,0.0,0.64667688
905111452801360,0.0,0.646677734
905111463555267,950000.0,0.657431641
905111463587086,940000.0,0.65746346
905111466534149,0.0,0.660410523
905111466534759,0.0,0.660411133
905111479466806,950000.0,0.67334318
905111479480519,940000.0,0.673356893
905111481334075,0.0,0.675210449
905111481334686,0.0,0.67521106
905111484341359,950000.0,0.678217733
905111484352996,940000.0,0.67822937
905111486367726,0.0,0.6802441
905111486368296,0.0,0.68024467
905111496257537,950000.0,0.690133911
905111496267099,940000.0,0.690143473
905111498132171,0.0,0.692008545
905111498132659,0.0,0.692009033
905111499806813,950000.0,0.693683187
905111499815846,940000.0,0.69369222
905111501887501,0.0,0.695763875
905111501888152,0.0,0.695764526
