timestamp_ns,frequency,time_relative_s
449148062630823,950000.0,0.005884399
449148062660242,940000.0,0.005913818
449148064419153,0.0,0.007672729
449148064419764,0.0,0.00767334
449148073496993,950000.0,0.016750569
449148073527389,940000.0,0.016780965
449148075772669,0.0,0.019026245
449148075773768,0.0,0.019027344
449148086317794,950000.0,0.02957137
449148086346399,940000.0,0.029599975
449148087653243,0.0,0.030906819
449148087653732,0.0,0.030907308
449148101353235,950000.0,0.044606811
449148101367029,940000.0,0.044620605
449148103563196,0.0,0.046816772
449148103563603,0.0,0.046817179
449148117928186,950000.0,0.061181762
449148117957199,940000.0,0.061210775
449148119783167,0.0,0.063036743
449148119783655,0.0,0.063037231
449148134846115,950000.0,0.078099691
449148134866175,940000.0,0.078119751
449148136697758,0.0,0.079951334
449148136698491,0.0,0.079952067
449148151556238,950000.0,0.094809814
449148151585210,940000.0,0.094838786
449148153425379,0.0,0.096678955
449148153426071,0.0,0.096679647
449148168047856,950000.0,0.111301432
449148168084233,940000.0,0.111337809
449148169837732,0.0,0.113091308
449148169838424,0.0,0.113092
449148172949956,950000.0,0.116203532
449148172965337,940000.0,0.116218913
449148174716110,0.0,0.117969686
449148174716679,0.0,0.117970255
449148184750167,950000.0,0.128003743
449148184765060,940000.0,0.128018636
449148186594121,0.0,0.129847697
449148186595057,0.0,0.129848633
449148201463180,950000.0,0.144716756
449148201479090,940000.0,0.144732666
449148203239425,0.0,0.146493001
449148203239995,0.0,0.146493571
449148273195114,950000.0,0.21644869
449148273209559,940000.0,0.216463135
449148274982020,0.0,0.218235596
449148274983118,0.0,0.218236694
449148372081263,950000.0,0.315334839
449148372114181,940000.0,0.315367757
449148375109420,0.0,0.318362996
449148375110153,0.0,0.318363729
449148397252690,950000.0,0.340506266
449148397263758,940000.0,0.340517334
449148397453659,0.0,0.340707235
449148397454310,0.0,0.340707886
449148416627853,950000.0,0.359881429
449148416636805,940000.0,0.359890381
449148419103073,0.0,0.362356649
449148419103439,0.0,0.362357015
449148472772059,950000.0,0.416025635
449148472799565,940000.0,0.416053141
449148474574671,0.0,0.417828247
449148474575119,0.0,0.417828695
449148476798670,950000.0,0.420052246
449148476806157,940000.0,0.420059733
449148478101893,0.0,0.421355469
449148478102259,0.0,0.421355835
449148549046025,950000.0,0.492299601
449148549080653,940000.0,0.492334229
449148551042160,0.0,0.494295736
449148551042892,0.0,0.494296468
449148554529586,950000.0,0.497783162
449148554548263,940000.0,0.497801839
449148556600916,0.0,0.499854492
449148556601771,0.0,0.499855347
449148557594853,950000.0,0.500848429
449148557609542,940000.0,0.500863118
449148558900314,0.0,0.50215389
449148558900843,0.0,0.502154419
449148568641321,950000.0,0.511894897
449148568659022,940000.0,0.511912598
449148570757817,0.0,0.514011393
449148570758550,0.0,0.514012126
449148573544235,950000.0,0.516797811
449148573560023,940000.0,0.516813599
449148575392339,0.0,0.518645915
449148575393030,0.0,0.518646606
449148585785568,950000.0,0.529039144
449148585791183,940000.0,0.529044759
449148587672978,0.0,0.530926554
449148587673629,0.0,0.530927205
449148588600591,950000.0,0.531854167
449148588618698,940000.0,0.531872274
449148590513880,0.0,0.533767456
449148590514490,0.0,0.533768066
449148602103480,950000.0,0.545357056
449148602124191,940000.0,0.545377767
449148604023727,0.0,0.547277303
449148604024460,0.0,0.547278036
449148605625819,950000.0,0.548879395
449148605641037,940000.0,0.548894613
449148607551315,0.0,0.550804891
449148607551844,0.0,0.55080542
449148618146448,950000.0,0.561400024
449148618166305,940000.0,0.561419881
449148621547083,0.0,0.564800659
449148621547978,0.0,0.564801554
449148628013921,950000.0,0.571267497
449148628033289,940000.0,0.571286865
449148629370244,0.0,0.57262382
449148629370732,0.0,0.572624308
449148634724370,950000.0,0.577977946
449148634752853,940000.0,0.578006429
449148636542526,0.0,0.579796102
449148636543258,0.0,0.579796834
449148651150843,950000.0,0.594404419
449148651164800,940000.0,0.594418376
449148653077804,0.0,0.59633138
449148653078496,0.0,0.596332072
449148668275802,950000.0,0.611529378
449148668296229,940000.0,0.611549805
449148670283859,0.0,0.613537435
449148670284632,0.0,0.613538208
449148674000737,950000.0,0.617254313
449148674018234,940000.0,0.61727181
449148675874679,0.0,0.619128255
449148675875330,0.0,0.619128906
449148675903162,950000.0,0.619156738
449148675904464,940000.0,0.61915804
449148677824020,0.0,0.621077596
449148677824264,0.0,0.62107784
449148682062790,950000.0,0.625316366
449148682089035,940000.0,0.625342611
449148684085413,0.0,0.627338989
449148684086431,0.0,0.627340007
449148684793543,950000.0,0.628047119
449148684806035,940000.0,0.628059611
449148687263229,0.0,0.630516805
449148687263962,0.0,0.630517538
449148701628301,950000.0,0.644881877
449148701666061,940000.0,0.644919637
449148703851323,0.0,0.647104899
449148703851649,0.0,0.647105225
