timestamp_ns,frequency,cpu,time_relative_s
449148057965947,1950000.0,0,0.001219523
449148057965947,1950000.0,1,0.001219523
449148057965947,1950000.0,2,0.001219523
449148057965947,1950000.0,3,0.001219523
449148057965947,2600000.0,4,0.001219523
449148057965947,2600000.0,5,0.001219523
449148057965947,2600000.0,6,0.001219523
449148057965947,3105000.0,7,0.001219523
449148307814254,1950000.0,0,0.25106783
449148307814254,1950000.0,1,0.25106783
449148307814254,1950000.0,2,0.25106783
449148307814254,1950000.0,3,0.25106783
449148307814254,2600000.0,4,0.25106783
449148307814254,2600000.0,5,0.25106783
449148307814254,2600000.0,6,0.25106783
449148307814254,3105000.0,7,0.25106783
449148557914556,1950000.0,0,0.501168132
449148557914556,1950000.0,1,0.501168132
449148557914556,1950000.0,2,0.501168132
449148557914556,1950000.0,3,0.501168132
449148557914556,2600000.0,4,0.501168132
449148557914556,2600000.0,5,0.501168132
449148557914556,2600000.0,6,0.501168132
449148557914556,3105000.0,7,0.501168132
