timestamp_ns,frequency,cpu,time_relative_s
904945096279184,2130000.0,4,-0.159425741
904945096280853,2130000.0,5,-0.159424072
904945096282358,2130000.0,6,-0.159422567
904945108828175,2245000.0,4,-0.14687675
904945108830128,2245000.0,5,-0.146874797
904945108832814,2245000.0,6,-0.146872111
904945116492726,2367000.0,4,-0.139212199
904945116494598,2367000.0,5,-0.139210327
904945116496063,2367000.0,6,-0.139208862
904945124557790,2450000.0,4,-0.131147135
904945124560394,2450000.0,5,-0.131144531
904945124562510,2450000.0,6,-0.131142415
904945128725921,2600000.0,4,-0.126979004
904945128728363,2600000.0,5,-0.126976562
904945128730560,2600000.0,6,-0.126974365
904945129007375,2294000.0,7,-0.12669755
904945136585988,357000.0,4,-0.119118937
904945136588226,357000.0,5,-0.119116699
904945136590382,357000.0,6,-0.119114543
904945140223643,2363000.0,7,-0.115481282
904945148222951,2499000.0,7,-0.107481974
904945160196584,2687000.0,7,-0.095508341
904945184201833,2802000.0,7,-0.071503092
904945198307871,2294000.0,7,-0.057397054
904945201914113,2147000.0,7,-0.053790812
904945203937184,2600000.0,4,-0.051767741
904945203939626,2600000.0,5,-0.051765299
904945203941823,2600000.0,6,-0.051763102
904945204491058,700000.0,7,-0.051213867
904945205120046,357000.0,4,-0.050584879
904945205122243,357000.0,5,-0.050582682
904945205123870,357000.0,6,-0.050581055
904945208234385,2294000.0,7,-0.04747054
904945209178517,820000.0,0,-0.046526408
904945209178517,820000.0,1,-0.046526408
904945209178517,820000.0,2,-0.046526408
904945209178517,820000.0,3,-0.046526408
904945209178517,357000.0,4,-0.046526408
904945209178517,357000.0,5,-0.046526408
904945209178517,357000.0,6,-0.046526408
904945209178517,2294000.0,7,-0.046526408
904945220242930,2363000.0,7,-0.035461995
904945221635915,2450000.0,4,-0.03406901
904945221637542,2450000.0,5,-0.034067383
904945221639333,2450000.0,6,-0.034065592
904945228480438,2600000.0,4,-0.027224487
904945228482025,2600000.0,5,-0.0272229
904945228483571,2600000.0,6,-0.027221354
904945232413625,357000.0,4,-0.0232913
904945232415374,357000.0,5,-0.023289551
904945232417043,357000.0,6,-0.023287882
904945240311615,787000.0,4,-0.01539331
904945240313446,787000.0,5,-0.015391479
904945240315114,787000.0,6,-0.015389811
904945241144256,357000.0,4,-0.014560669
904945241145843,357000.0,5,-0.014559082
904945241147511,357000.0,6,-0.014557414
904945246341359,1950000.0,0,-0.009363566
904945246342905,1950000.0,1,-0.00936202
904945246344411,1950000.0,2,-0.009360514
904945246345876,1950000.0,3,-0.009359049
904945246426930,2600000.0,4,-0.009277995
904945246428477,2600000.0,5,-0.009276448
904945246430104,2600000.0,6,-0.009274821
904945248284800,357000.0,4,-0.007420125
904945248285451,357000.0,5,-0.007419474
904945248286102,357000.0,6,-0.007418823
904945250476532,910000.0,4,-0.005228393
904945250477183,910000.0,5,-0.005227742
904945250477834,910000.0,6,-0.005227091
904945250990488,2450000.0,4,-0.004714437
904945250991139,2450000.0,5,-0.004713786
904945250991790,2450000.0,6,-0.004713135
904945251575490,700000.0,7,-0.004129435
904945253593394,2600000.0,4,-0.002111531
904945253594085,2600000.0,5,-0.00211084
904945253594940,2600000.0,6,-0.002109985
904945256192799,2367000.0,4,0.000487874
904945256193491,2367000.0,5,0.000488566
904945256194264,2367000.0,6,0.000489339
904945256329396,820000.0,0,0.000624471
904945256330210,820000.0,1,0.000625285
904945256330861,820000.0,2,0.000625936
904945256331471,820000.0,3,0.000626546
904945256420868,2600000.0,4,0.000715943
904945256421519,2600000.0,5,0.000716594
904945256422170,2600000.0,6,0.000717245
904945258945444,578000.0,4,0.003240519
904945258946380,578000.0,5,0.003241455
904945258947072,578000.0,6,0.003242147
904945259592458,2367000.0,4,0.003887533
904945259594248,2367000.0,5,0.003889323
