timestamp_ns,frequency,time_relative_s
904824005535473,386000.0,0.010865356
904824005556062,302000.0,0.010885945
904824007576285,0.0,0.012906168
904824007577180,0.0,0.012907063
904824007615429,386000.0,0.012945312
904824007646476,302000.0,0.012976359
904824010916658,0.0,0.016246541
904824010917716,0.0,0.016247599
904824025795239,386000.0,0.031125122
904824025812328,302000.0,0.031142211
904824028666414,0.0,0.033996297
904824028667268,0.0,0.033997151
904824038861157,386000.0,0.04419104
904824038900260,302000.0,0.044230143
904824041629223,0.0,0.046959106
904824041630118,0.0,0.046960001
904824055246126,386000.0,0.060576009
904824055272127,302000.0,0.06060201
904824057629752,0.0,0.062959635
904824057630566,0.0,0.062960449
904824059629711,386000.0,0.064959594
904824059646354,302000.0,0.064976237
904824061921866,0.0,0.067251749
904824061922558,0.0,0.067252441
904824072455558,386000.0,0.077785441
904824072496777,302000.0,0.07782666
904824074848136,0.0,0.080178019
904824074849397,0.0,0.08017928
904824088692252,160000.0,0.094022135
904824088710563,150000.0,0.094040446
904824091801830,0.0,0.097131713
904824091803702,0.0,0.097133585
904824104924511,160000.0,0.110254394
904824104928662,150000.0,0.110258545
904824107206290,0.0,0.112536173
904824107207511,0.0,0.112537394
904824112417512,160000.0,0.117747395
904824112461336,150000.0,0.117791219
904824116833284,0.0,0.122163167
904824116834423,0.0,0.122164306
904824121360017,160000.0,0.1266899
904824121387931,150000.0,0.126717814
904824123902294,0.0,0.129232177
904824123902945,0.0,0.129232828
904824138067984,659000.0,0.143397867
904824138076407,521000.0,0.14340629
904824139898998,0.0,0.145228881
904824139899161,0.0,0.145229044
904824146739493,659000.0,0.152069376
904824146775301,467000.0,0.152105184
904824147068351,0.0,0.152398234
904824147068717,0.0,0.1523986
904824151730867,659000.0,0.15706075
904824151740348,467000.0,0.157070231
904824154832552,0.0,0.160162435
904824154834179,0.0,0.160164062
904824211438224,430000.0,0.216768107
904824211473014,337000.0,0.216802897
904824213535839,0.0,0.218865722
904824213536246,0.0,0.218866129
904824312936108,160000.0,0.318265991
904824312953523,150000.0,0.318283406
904824315962109,386000.0,0.321291992
904824315982902,302000.0,0.321312785
904824316019279,0.0,0.321349162
904824316019767,0.0,0.32134965
904824343166210,386000.0,0.348496093
904824343185213,302000.0,0.348515096
904824346803336,0.0,0.352133219
904824346804475,0.0,0.352134358
904824346922436,386000.0,0.352252319
904824346924023,302000.0,0.352253906
904824348329418,0.0,0.353659301
904824348329785,0.0,0.353659668
904824353258211,386000.0,0.358588094
904824353276969,302000.0,0.358606852
904824357634757,0.0,0.36296464
904824357635734,0.0,0.362965617
904824371769685,386000.0,0.377099568
904824371786409,302000.0,0.377116292
904824373987662,0.0,0.379317545
904824373988273,0.0,0.379318156
904824375197094,386000.0,0.380526977
904824375209423,302000.0,0.380539306
904824378452710,0.0,0.383782593
904824378453401,0.0,0.383783284
904824388626945,386000.0,0.393956828
904824388643017,302000.0,0.3939729
904824391038606,0.0,0.396368489
904824391039257,0.0,0.39636914
904824391536572,386000.0,0.396866455
904824391542350,302000.0,0.396872233
904824394761751,0.0,0.400091634
904824394762687,0.0,0.40009257
904824406922640,160000.0,0.412252523
904824406939404,150000.0,0.412269287
904824414457185,0.0,0.419787068
904824414458040,0.0,0.419787923
904824421703279,160000.0,0.427033162
904824421723502,150000.0,0.427053385
904824423072542,386000.0,0.428402425
904824423077954,302000.0,0.428407837
904824424195711,0.0,0.429525594
904824424195996,0.0,0.429525879
904824426051993,386000.0,0.431381876
904824426064974,302000.0,0.431394857
904824429047965,0.0,0.434377848
904824429048535,0.0,0.434378418
904824438545890,386000.0,0.443875773
904824438561474,302000.0,0.443891357
904824440537630,0.0,0.445867513
904824440538118,0.0,0.445868001
904824442666292,386000.0,0.447996175
904824442686718,302000.0,0.448016601
904824445617138,0.0,0.450947021
904824445617382,0.0,0.450947265
