timestamp_ns,frequency,cpu,time_relative_s
905028709811981,1950000.0,0,0.019425212
905028709811981,1950000.0,1,0.019425212
905028709811981,1950000.0,2,0.019425212
905028709811981,1950000.0,3,0.019425212
905028709811981,2450000.0,4,0.019425212
905028709811981,2450000.0,5,0.019425212
905028709811981,2450000.0,6,0.019425212
905028709811981,3015000.0,7,0.019425212
905028958359995,1950000.0,0,0.267973226
905028958359995,1950000.0,1,0.267973226
905028958359995,1950000.0,2,0.267973226
905028958359995,1950000.0,3,0.267973226
905028958359995,2450000.0,4,0.267973226
905028958359995,2450000.0,5,0.267973226
905028958359995,2450000.0,6,0.267973226
905028958359995,3015000.0,7,0.267973226
905029156686127,1696000.0,0,0.466299358
905029156686859,1696000.0,1,0.46630009
905029156687469,1696000.0,2,0.4663007
905029156688120,1696000.0,3,0.466301351
905029208760061,1696000.0,0,0.518373292
905029208760061,1696000.0,1,0.518373292
905029208760061,1696000.0,2,0.518373292
905029208760061,1696000.0,3,0.518373292
905029208760061,2450000.0,4,0.518373292
905029208760061,2450000.0,5,0.518373292
905029208760061,2450000.0,6,0.518373292
905029208760061,3015000.0,7,0.518373292
905029458751556,1696000.0,0,0.768364787
905029458751556,1696000.0,1,0.768364787
905029458751556,1696000.0,2,0.768364787
905029458751556,1696000.0,3,0.768364787
905029458751556,2450000.0,4,0.768364787
905029458751556,2450000.0,5,0.768364787
905029458751556,2450000.0,6,0.768364787
905029458751556,3015000.0,7,0.768364787
