timestamp_ns,frequency,cpu,time_relative_s
904660959105991,1849000.0,0,-0.004273234
904660959105991,1849000.0,1,-0.004273234
904660959105991,1849000.0,2,-0.004273234
904660959105991,1849000.0,3,-0.004273234
904660959105991,2367000.0,4,-0.004273234
904660959105991,2367000.0,5,-0.004273234
904660959105991,2367000.0,6,-0.004273234
904660959105991,2914000.0,7,-0.004273234
904661208932692,1849000.0,0,0.245553467
904661208932692,1849000.0,1,0.245553467
904661208932692,1849000.0,2,0.245553467
904661208932692,1849000.0,3,0.245553467
904661208932692,2367000.0,4,0.245553467
904661208932692,2367000.0,5,0.245553467
904661208932692,2367000.0,6,0.245553467
904661208932692,2914000.0,7,0.245553467
