timestamp_ns,frequency,cpu,time_relative_s
905388708807233,1950000.0,0,-0.054788045
905388708807233,1950000.0,1,-0.054788045
905388708807233,1950000.0,2,-0.054788045
905388708807233,1950000.0,3,-0.054788045
905388708807233,2367000.0,4,-0.054788045
905388708807233,2367000.0,5,-0.054788045
905388708807233,2367000.0,6,-0.054788045
905388708807233,2970000.0,7,-0.054788045
905388958523542,1950000.0,0,0.194928264
905388958523542,1950000.0,1,0.194928264
905388958523542,1950000.0,2,0.194928264
905388958523542,1950000.0,3,0.194928264
905388958523542,2367000.0,4,0.194928264
905388958523542,2367000.0,5,0.194928264
905388958523542,2367000.0,6,0.194928264
905388958523542,2970000.0,7,0.194928264
